state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Puducherry,MANNADIPET,1,G. ACHUDHAN,Pattali Makkal Katchi,14,42,53,57,,,57,0,57,0.19,29502
Puducherry,MANNADIPET,1,"R. ELUMALAI, ADVOCATE",Rashtriya Samaj Dal (R),5,8,24,26,,,26,1,27,0.09,29502
Puducherry,MANNADIPET,1,K. BHARATHITHASAN,Tamilaga Vettri Kazhagam,847,1709,2444,3018,,,3018,14,3032,10.28,29502
Puducherry,MANNADIPET,1,B. VENKATESAN,Naam Tamilar Katchi,82,141,218,258,,,258,2,260,0.88,29502
Puducherry,MANNADIPET,1,R. SUNDARRAJ,Independent,2,7,17,21,,,21,0,21,0.07,29502
Puducherry,MANNADIPET,1,K. DATCHANAMOURTHY,Independent,1,5,10,13,,,13,0,13,0.04,29502
Puducherry,MANNADIPET,1,S. PANDURANGAN,Independent,3,5,6,6,,,6,0,6,0.02,29502
Puducherry,MANNADIPET,1,K. BALAMURUGAN,Independent,10,18,42,49,,,49,0,49,0.17,29502
Puducherry,MANNADIPET,1,J. YUVARAJ,Independent,27,59,124,144,,,144,3,147,0.5,29502
Puducherry,MANNADIPET,1,NOTA,None of the Above,45,95,137,162,,,162,2,164,0.56,29502
Puducherry,MUDALIARPET,18,L. SAMBATH,Dravida Munnetra Kazhagam,2196,5007,7506,9915,10342,,10342,232,10574,33.89,31199
Puducherry,MUDALIARPET,18,A. JOHNKUMAR,Bharatiya Janata Party,2957,5472,8379,11723,12707,,12707,238,12945,41.49,31199
Puducherry,MUDALIARPET,18,DR. GEETHA MANI,Naadaalum Makkal Katchi,13,26,44,53,55,,55,0,55,0.18,31199
Puducherry,MUDALIARPET,18,GOPALAKRISHNAN,Pattali Makkal Katchi,18,27,37,66,73,,73,3,76,0.24,31199
Puducherry,MUDALIARPET,18,S. SENTHILKUMAR,Parivartan Rajniti Party,7,13,16,22,24,,24,0,24,0.08,31199
Puducherry,MUDALIARPET,18,N. MANIBALAN,Tamilaga Vettri Kazhagam,1430,2726,4096,5465,5871,,5871,35,5906,18.93,31199
Puducherry,MUDALIARPET,18,RAJESWARI,Aanaithinthiya Jananayaka Pathukappu Kazhagam,10,16,20,25,27,,27,0,27,0.09,31199
Puducherry,MUDALIARPET,18,M. VELAVAN,Naam Tamilar Katchi,181,324,461,669,715,,715,15,730,2.34,31199
Puducherry,MUDALIARPET,18,N. ANNATHURAI,Independent,11,87,357,373,376,,376,8,384,1.23,31199
Puducherry,MUDALIARPET,18,SENTHILKUMAR,Independent,11,26,29,39,42,,42,2,44,0.14,31199
Puducherry,MUDALIARPET,18,A. DHINAKARAN,Independent,4,11,28,37,38,,38,1,39,0.13,31199
Puducherry,MUDALIARPET,18,R. MUTHUMANIKANDAN,Independent,4,6,12,13,13,,13,1,14,0.04,31199
Puducherry,MUDALIARPET,18,SUTHAM SUNDARRAJAN @ RAVINDRAN,Independent,5,22,29,35,37,,37,1,38,0.12,31199
