state,constituency,constituency number,candidate,party,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,evm votes,postal votes,candidate total votes,candidate vote %,total polled votes
Assam,BINNAKANDI,62,SHAHAB UDDIN MAJUMDAR,Asom Gana Parishad,1117,1864,2537,3577,4905,5448,6349,7002,7577,7787,8359,8649,10651,10983,12267,12893,13802,14660,15135,15590,16147,17336,17952,19494,20657,20675,20695,20743,20804,20827,,,,20827,128,20955,8.85,236890
Assam,BINNAKANDI,62,REJAUL KARIM CHOWDHURY,Assam Jatiya Parishad,3681,7283,10429,15734,18879,21328,23362,26130,30050,34533,37144,39945,43351,47243,50391,53744,58130,61485,65115,68546,71782,73959,76888,80291,82793,83178,83346,83467,83786,84049,,,,84049,292,84341,35.6,236890
Assam,BINNAKANDI,62,ABDUL HANNAN,Independent,64,119,152,212,252,292,328,367,431,486,520,563,621,665,770,839,900,960,1013,1076,1122,1171,1241,1299,1352,1353,1357,1358,1360,1362,,,,1362,7,1369,0.58,236890
Assam,BINNAKANDI,62,IMDADUR RAHMAN,Independent,12,21,38,51,67,72,81,97,107,116,122,133,138,147,166,177,196,206,219,231,247,252,266,284,304,304,304,304,306,306,,,,306,3,309,0.13,236890
Assam,BINNAKANDI,62,ZAKARIA HUSSAIN,Independent,14,23,27,36,52,60,70,81,93,116,120,132,142,153,166,180,196,211,218,223,233,240,252,267,285,286,286,286,286,286,,,,286,1,287,0.12,236890
Assam,BINNAKANDI,62,NAZMUL ALAM LASKAR,Independent,18,36,54,77,99,115,141,160,170,184,209,247,273,284,313,335,356,375,390,403,415,432,442,506,534,534,534,536,536,536,,,,536,3,539,0.23,236890
Assam,BINNAKANDI,62,PRAFULLA BAGLARI,Independent,138,153,166,429,451,458,470,475,500,507,517,527,553,558,581,602,637,657,673,691,704,720,733,781,815,816,816,816,816,817,,,,817,11,828,0.35,236890
Assam,BINNAKANDI,62,FAJLUL KARIM CHOWDHURY,Independent,70,107,151,228,306,344,391,432,501,546,571,601,650,688,745,796,850,894,936,977,1016,1049,1088,1129,1164,1169,1172,1177,1181,1181,,,,1181,16,1197,0.51,236890
Assam,BINNAKANDI,62,FORIJ UDDIN,Independent,55,117,168,227,254,314,375,437,504,536,586,640,693,754,816,909,976,1062,1129,1201,1275,1340,1411,1481,1518,1521,1527,1529,1531,1538,,,,1538,5,1543,0.65,236890
Assam,BINNAKANDI,62,MOHAMMED KABIR AHMED,Independent,96,177,257,352,429,498,552,613,731,817,872,928,1071,1187,1272,1369,1497,1584,1674,1778,1864,1940,2040,2164,2227,2240,2249,2252,2259,2261,,,,2261,3,2264,0.96,236890
Assam,BINNAKANDI,62,SHAMSUL HAQUE LASKAR,Independent,46,90,149,211,261,302,367,417,475,523,562,602,672,740,815,887,977,1056,1102,1188,1248,1305,1373,1445,1498,1498,1503,1505,1509,1513,,,,1513,1,1514,0.64,236890
