state,district,district_number,constituency,constituency_number,candidate,party,evm_votes,postal_votes,candidate_total_votes,candidate_vote_%,total_polled_votes,male_votes,female_votes,thirunangai_votes,total_votes
Tamil Nadu,ARIYALUR,31,Jayankondam,150,RAJKUMAR S,Independent,945,2,947,0.44,216368,124234,126695,0,250929
Tamil Nadu,ARIYALUR,31,Jayankondam,150,NOTA,None of the Above,1850,11,1861,0.86,216368,124234,126695,0,250929
Tamil Nadu,VELLORE,4,Jolarpet,49,SIVAKUMAR.V.C.,Bahujan Samaj Party,341,6,347,0.18,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,DEVARAJI.K.,Dravida Munnetra Kazhagam,88237,1253,89490,45.57,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,VEERAMANI.K.C.,All India Anna Dravida Munnetra Kazhagam,87365,1034,88399,45.02,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,KALASTHRI.S.,All India Uzhavargal Uzhaippalargal Katchi,861,9,870,0.44,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,SIVA.A.,Naam Tamilar Katchi,13199,129,13328,6.79,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,THENNARASU SAAMRAJ,Amma Makkal Munnettra Kazagam,614,5,619,0.32,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,KARUNANIDHI.R.,Independent,1057,10,1067,0.54,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,DEVARAJI.R.,Independent,101,2,103,0.05,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,DEVARAJ.V.K.,Independent,80,2,82,0.04,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,MANITHAN,Independent,140,2,142,0.07,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,VEERAMANI.A.,Independent,148,0,148,0.08,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,VEERAMANI.H.,Independent,208,1,209,0.11,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,VEERAMANI.S.,Independent,217,0,217,0.11,196358,111616,112614,0,224230
Tamil Nadu,VELLORE,4,Jolarpet,49,NOTA,None of the Above,1328,9,1337,0.68,196358,111616,112614,0,224230
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,C.KRISHNAMURALI,All India Anna Dravida Munnetra Kazhagam,87900,574,88474,43.08,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,M.AMBIKADEVI,Makkal Needhi Maiam,1756,22,1778,0.87,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,S.AYYADURAIPANDIAN,Amma Makkal Munnettra Kazagam,34047,169,34216,16.66,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,S.RAJA RAM,New Generation People’s Party,313,5,318,0.15,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,M.MUTHULAKSHMI,Naam Tamilar Katchi,10052,84,10136,4.94,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,K.A.M.MUHAMMED ABUBACKER,Indian Union Muslim League,63298,827,64125,31.22,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,M.AYYADURAI,Independent,283,1,284,0.14,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,AYYADURAI  R,Independent,87,0,87,0.04,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,AVANI RAJA.T,Independent,80,0,80,0.04,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,K.RADHA KRISHNAN,Independent,84,1,85,0.04,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,RAJA PONNUSAMY,Independent,257,2,259,0.13,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,A.GANESAN,Independent,117,5,122,0.06,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,R.KRISHNAN,Independent,126,0,126,0.06,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,A.SANKAR,Independent,413,0,413,0.2,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,SIVASUBRAMANIYAN R,Independent,666,6,672,0.33,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,S.SEENIVASAN,Independent,938,0,938,0.46,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,POOLOGARAJ R,Independent,657,1,658,0.32,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,MARIDURAIPANDIAN,Independent,96,0,96,0.05,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,S.MURUGANANTHAM,Independent,532,0,532,0.26,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,P.RAJI,Independent,245,2,247,0.12,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,VELAMMAL,Independent,670,2,672,0.33,205374,133128,133042,5,266175
Tamil Nadu,TIRUNELVELI,29,Kadayanallur,221,NOTA,None of the Above,1047,9,1056,0.51,205374,133128,133042,5,266175
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Saravanan.P.S.T,Dravida Munnetra Kazhagam,92712,1422,94134,47.92,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Nehru.M,Desiya Murpokku Dravida Kazhagam,2738,18,2756,1.4,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Panneerselvam.V,All India Anna Dravida Munnetra Kazhagam,84070,842,84912,43.23,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Rajkumar.E,Bahujan Samaj Party,623,9,632,0.32,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Kalyanasundaram.A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,126,2,128,0.07,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Sampath.R.V,Anna Dravidar Kazhagam,91,1,92,0.05,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Balaji.E,Naam Tamilar Katchi,8748,74,8822,4.49,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Rajendran.M.S,Indiya Jananayaka Katchi,239,5,244,0.12,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Amutha.G,Independent,362,20,382,0.19,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Saravanan.K,Independent,244,6,250,0.13,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Tirunavukarasu.M,Independent,755,10,765,0.39,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Panneerselvam.S,Independent,710,3,713,0.36,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Panneerselvam.V,Independent,238,1,239,0.12,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Rajamani.K,Independent,449,1,450,0.23,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,Jagannathan.R,Independent,321,1,322,0.16,196434,109499,111715,6,221220
Tamil Nadu,TIRUVANNAMALAI,7,Kalasapakkam,65,NOTA,None of the Above,1584,9,1593,0.81,196434,109499,111715,6,221220
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Suriyaprakash.M,Independent,655,4,659,0.29,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Dravidamuthamilselvi.D,Naam Tamilar Katchi,16409,65,16474,7.29,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Manirathinem.K.I,Indian National Congress,83367,1385,84752,37.52,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Vijayakumar.N,Desiya Murpokku Dravida Kazhagam,6555,16,6571,2.91,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Senthilkumar.M,All India Anna Dravida Munnetra Kazhagam,109909,734,110643,48.99,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Dinesh.M,My India Party,197,1,198,0.09,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Ayyasamy.M,Indiya Jananayaka Katchi,864,7,871,0.39,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Devimangayarkarasi.K,Independent,1197,0,1197,0.53,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Prabu.C,Independent,937,0,937,0.41,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Gurusamy.M,Independent,103,0,103,0.05,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Selvaraj.M,Independent,265,1,266,0.12,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Palanisamy.A,Bahujan Samaj Party,1096,1,1097,0.49,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Kuppusamy.K,Anna MGR Dravida Makkal Kalgam,171,0,171,0.08,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Oviyar Ananth,Lok Jan Shakti Party,102,0,102,0.05,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Elaiyaperumal.K,Independent,185,0,185,0.08,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Sivakumar.S,Independent,125,0,125,0.06,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,Subramaniyan.P,Independent,248,2,250,0.11,225858,131954,131496,20,263470
Tamil Nadu,VILUPPURAM,8,Kallakurichi,80,NOTA,None of the Above,1247,10,1257,0.56,225858,131954,131496,20,263470
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,C.V.M.P. Ezhailzrasan,Dravida Munnetra Kazhagam,100914,1798,102712,44.77,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,K. Prabakaran,Bahujan Samaj Party,1185,8,1193,0.52,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,B. GOPINATH,Makkal Needhi Maiam,11936,92,12028,5.24,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,S. SALDIN,Naam Tamilar Katchi,13829,117,13946,6.08,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,P. Magesh Kumar,Pattali Makkal Katchi,90390,727,91117,39.71,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,N. MANOGARAN,Amma Makkal Munnettra Kazagam,2283,18,2301,1,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,M. MEGANATHAN,New Generation People’s Party,241,7,248,0.11,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,L. ARULNATHAN,Independent,2024,26,2050,0.89,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,M.ELANGOVAN,Independent,94,17,111,0.05,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,P. EZHILARASAN,Independent,126,1,127,0.06,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,S. SRINIVASAN,Independent,162,0,162,0.07,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,D.GNANAMOORTHY,Independent,412,3,415,0.18,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,T. MAGESH,Independent,143,14,157,0.07,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,R. VINOTHRAJ,Independent,133,0,133,0.06,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,J. JAYARAJ,Independent,192,1,193,0.08,229432,144286,153762,8,298056
Tamil Nadu,KANCHEEPURAM,3,Kancheepuram,37,NOTA,None of the Above,2521,18,2539,1.11,229432,144286,153762,8,298056
Tamil Nadu,TIRUPPUR,32,Kangayam,102,AYYAVU.N,Bahujan Samaj Party,421,0,421,0.21,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SAMINATHAN.M.P,Dravida Munnetra Kazhagam,93178,1019,94197,47.14,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,RAMALINGAM.A.S,All India Anna Dravida Munnetra Kazhagam,86477,389,86866,43.47,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SIVANANTHAM.K,Naam Tamilar Katchi,11248,59,11307,5.66,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,MANOHARAN.S,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,134,0,134,0.07,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,RAMESH.C,Amma Makkal Munnettra Kazagam,474,0,474,0.24,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,APPASAMY.R,Independent,2317,10,2327,1.16,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,IMMANUVEL.R,Independent,434,1,435,0.22,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,GOPINATH.P,Independent,247,0,247,0.12,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SATHISH KUMAR.P,Independent,60,2,62,0.03,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SATHYAMOORTHI.S,Independent,106,1,107,0.05,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SUKUMARAN.N,Independent,59,0,59,0.03,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SUBRAMANIAN.D,Independent,123,1,124,0.06,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,SELVAKUMAR.K,Independent,225,0,225,0.11,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,NALLAMUTHU.P,Independent,276,0,276,0.14,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,NITHIYANDHAN.C,Independent,285,0,285,0.14,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,PRABHAKARAN.G,Independent,113,0,113,0.06,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,MANI.A,Independent,273,0,273,0.14,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,MANIKANDAN.R,Independent,330,0,330,0.17,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,RAVIKUMAR.R,Independent,98,2,100,0.05,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,RAMALINGAM.N,Independent,38,0,38,0.02,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,RAJENDRAN.B,Independent,94,1,95,0.05,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,RAJENDRAN.P,Independent,40,0,40,0.02,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,VADUGANATHAN.K.K.,Independent,83,0,83,0.04,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,JAHANGEER.K.O.,Independent,88,1,89,0.04,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,JOTHI KALIMUTHU.G,Independent,84,0,84,0.04,199818,115706,119587,18,235311
Tamil Nadu,TIRUPPUR,32,Kangayam,102,NOTA,None of the Above,1020,7,1027,0.51,199818,115706,119587,18,235311
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,AUSTIN S.,Dravida Munnetra Kazhagam,91511,2021,93532,41.59,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,SUTHARMAN C.J.,Bahujan Samaj Party,675,6,681,0.3,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,THALAVAI SUNDARAM N.,All India Anna Dravida Munnetra Kazhagam,108136,1609,109745,48.8,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,SASIKALA  R.,Naam Tamilar Katchi,14072,68,14140,6.29,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,SENTHIL MURUGAN  P.,Amma Makkal Munnettra Kazagam,1570,19,1589,0.71,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,SELVAKUMAR  P.T.,Makkal Needhi Maiam,3100,6,3106,1.38,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,AUGUSTIN A.,Independent,445,1,446,0.2,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,SUNDARA NATHAN Y.,Independent,50,0,50,0.02,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,SUBASH S.,Independent,77,1,78,0.03,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,CHELLIAH PILLAI I.,Independent,55,0,55,0.02,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,THANU NEELAN S.,Independent,95,0,95,0.04,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,MAKESH N.,Independent,115,4,119,0.05,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,MANICKAVASAGAM PILLAI NA.,Independent,141,1,142,0.06,224874,137399,138110,38,275547
Tamil Nadu,KANNIYAKUMARI,30,Kanniyakumari,229,NOTA,None of the Above,1092,4,1096,0.49,224874,137399,138110,38,275547
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,N.Baluswamy,Bahujan Samaj Party,649,3,652,0.31,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,S.Mangudi,Indian National Congress,73777,2177,75954,35.75,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,H.Raja,Bharatiya Janata Party,53863,502,54365,25.59,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,N.Durai Manickam,Naam Tamilar Katchi,23725,147,23872,11.24,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,Dherpoki V Pandi,Amma Makkal Munnettra Kazagam,44561,303,44864,21.12,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,Rajkumar.G,Anna MGR Dravida Makkal Kalgam,338,3,341,0.16,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,S.Rajkumar,Makkal Needhi Maiam,8260,91,8351,3.93,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,B.Vanitha,Puthiya Tamilagam,698,4,702,0.33,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,A.Ganesan,Independent,340,6,346,0.16,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,M.Naina Mohamed,Independent,412,4,416,0.2,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,A.Paramasivam,Independent,192,0,192,0.09,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,N.Meenal,Independent,543,5,548,0.26,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,K.Velu,Independent,498,6,504,0.24,212456,143046,145447,31,288524
Tamil Nadu,SIVAGANGA,23,Karaikudi,184,NOTA,None of the Above,1329,20,1349,0.63,212456,143046,145447,31,288524
Tamil Nadu,KARUR,15,Karur,135,AADHIKRISHNAN.P,Bahujan Samaj Party,210,0,210,0.1,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SENTHILBALAJI V,Dravida Munnetra Kazhagam,100356,1401,101757,49.08,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,THANGARAJ.N,Desiya Murpokku Dravida Kazhagam,946,7,953,0.46,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,VIJAYABHASKAR. M.R,All India Anna Dravida Munnetra Kazhagam,88440,869,89309,43.08,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KARUPPAIYA.R,Naam Tamilar Katchi,7286,30,7316,3.53,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SHANMUGAM.N,Samaniya Makkal Nala Katchi,99,0,99,0.05,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,DHANALAKSHMI.M,Ganasangam Party of India,105,0,105,0.05,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,MOHANRAJ.S,Makkal Needhi Maiam,4138,16,4154,2,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,JOSEPH.M.A,Desiya Makkal Sakthi Katchi,39,0,39,0.02,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,ABILAZAN.N,Independent,29,0,29,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,AMARNATH.K,Independent,28,0,28,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,AMARSRI.M,Independent,56,0,56,0.03,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,ANBAZHAGAN,Independent,334,0,334,0.16,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,RAVI.P,Independent,366,3,369,0.18,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KANNAN.T,Independent,165,0,165,0.08,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KATHIRAVAN.P,Independent,114,0,114,0.05,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KARUNAMOORTHY.S,Independent,29,0,29,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KALAI RAJ.K,Independent,51,0,51,0.02,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KAMARAJ.P,Independent,15,0,15,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,KRISHNAKUMAR.S,Independent,42,0,42,0.02,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,GOPALAKRISHNAN.A,Independent,19,0,19,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SAKTHIKUMAR,Independent,2,0,2,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SANTHANAKUMAR.M,Independent,3,1,4,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SATHISH.P,Independent,10,0,10,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SAMPATH.S,Independent,9,0,9,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SARAVANAN.R,Independent,10,0,10,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SAMIAPPAN.K,Independent,10,0,10,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SAMIVEL.A,Independent,12,0,12,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SHIVAKUMAR.K,Independent,29,0,29,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SIVAKUMAR.N,Independent,18,0,18,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SIVAKUMAR.V,Independent,46,0,46,0.02,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SIVASAMY.P,Independent,37,0,37,0.02,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SUDHAKAR.S,Independent,7,0,7,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SUDHAKAR.L,Independent,19,0,19,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SUBASH MALAYALAM.T,Independent,8,0,8,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SURYA,Independent,96,0,96,0.05,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SENTHILKUMAR.A,Independent,13,0,13,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SENTHILKUMAR.A.M,Independent,2,0,2,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,SELVAKUMAR.M,Independent,7,0,7,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,DANIYA,Independent,11,0,11,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,TAMILARASAN.K,Independent,13,0,13,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,THAMILALAGAN,Independent,7,0,7,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,DHANABAL,Independent,7,0,7,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,THIRUGNANAM.M,Independent,13,0,13,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,DEEPANANDH.N,Independent,14,0,14,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,DURAISAMY.J,Independent,5,0,5,0,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,NOOR MOHAMMED THOUFFIC.A,Independent,13,0,13,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,PALANIVEL.P,Independent,17,0,17,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,BALAMANIKANDAN.K,Independent,56,0,56,0.03,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,BANUMATHY,Independent,16,0,16,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,PRAKASH.A,Independent,11,0,11,0.01,207310,111510,121584,2,233096
Tamil Nadu,KARUR,15,Karur,135,PRAKASH.N,Independent,20,0,20,0.01,207310,111510,121584,2,233096
